password,strength
4lg*.1;5TNjRU},Strong
qzshrif9,Weak
L_w@erCIB09k1$Y,Strong
ssssss,Very Weak
405738787,Weak
.}9D5%F$vceUwhrnXuup0c9YrU,Excellent
qynsidj45,Weak
jessica597,Weak
L8q[ICnf4Sa0%Gd,Strong
Uzw,Very Weak
atcdxupjq,Weak
ebjda56,Weak
ZA$>H3G2v|x7+*O,Strong
jx25,Very Weak
Oaybkqdl,Weak
ezeirhp61,Weak
shadow914,Weak
"ty$43B}dNoi5ieEfy+lkdBi,99",Excellent
71knemxydz92,Moderate
O7TBk34[F]ck_Ylz,Strong
ujgcl08,Weak
P:+0Mcz&j(,Moderate
tgkfhhy41,Weak
cfwjvumikna(,Moderate
";EN*g_6j,5",Moderate
Security59},Moderate
R8sCqaql%8zcl.s%P5rK]7jsE6,Excellent
iayl<M10;+WCjpG,Strong
q3G#9Rt$mYIndfu?4mmxjk2D0,Excellent
<nlSYI[0f|Tmu5,Strong
647987,Very Weak
kf95,Very Weak
tez&&L--i%g4h7E8fkvwB59QxU,Excellent
thomas404,Weak
Lbsoc,Very Weak
fffff,Very Weak
cxtocusc3,Weak
Ds5ow^sUcRthvHW]cv4$ptP95,Excellent
a|8GTOIJ9Uf*:_-,Strong
eqr,Very Weak
Jupiter608:,Moderate
tdrofljqsbz(,Moderate
8>lC:3%{b7o#6Xa,Strong
YjB8:2m(KcYPggito31%HfjH,Excellent
jordan658,Weak
50epturldg47,Moderate
Security975;,Moderate
Security41=,Moderate
Jfhn,Very Weak
hhhh,Very Weak
Bqv,Very Weak
michael406,Weak
Phoenix170+,Moderate
bbbbbbb,Very Weak
y1.uv&yKs6k4<jFe8dW0Godng,Excellent
princess,Very Weak
psezunh49,Weak
867,Very Weak
ws3QNmej8XqG.x=jblLox6-v3,Excellent
=xI#Ms2>8r,Moderate
8cIvlTY3yCdZneq0u+{j@cs0J,Excellent
NiJ%:ACh8p6xs.l,Strong
clhppee35,Weak
027096984,Weak
Rro,Very Weak
)+N!h3{1*%vbS$Fb9dxpn1fY:NQ8,Excellent
monkey,Very Weak
qW8f$Juvp[X3*Z1,Strong
7xS7hiiaE_UyT_7D4pBb:gpor6,Excellent
",m7ho!0J1zYAL+Mj",Strong
Afa,Very Weak
slcuonr5,Weak
XVJp0T?|zeS4a#9f,Strong
qh1Xd1K8laN3tSeg%jx9$X}|1d,Excellent
ct[bLo9!vSdtmM6jpEE2QI)o9,Excellent
wpmdx{Ly<0g:77u7NdYmwDaWo,Excellent
H]OWg_kuAZ,Moderate
mdwaylr9,Weak
jordan593,Weak
9L*3R|7jqMg_ZisxB,Strong
Haigtpsyr,Weak
066493184,Weak
kc87,Very Weak
"Nacv5B4(1Wi9,=r",Strong
A[5}q*zRW,Moderate
xfh;J6P9t9!qH_r3rHL*uv4nny,Excellent
Thunder035%,Moderate
BPW<HqN{VB0,Moderate
965888,Very Weak
7sQuMZVac)<,Moderate
zadUJ)%vH4>IfG,Strong
SeQHN7_M.68C5!I@z7k.Ehb$m;9r,Excellent
master604,Weak
Security981(,Moderate
Kxdjvyjrn,Weak
B%c^_85eZHi9jp,Strong
rI7xueT7y%t5k5*+73vAH:Nsxc,Excellent
x81s^QrhRS&N&3syF,Strong
xicjxemi9,Weak
253360852,Weak
OabKs4{Q|P1vY!,Strong
Qn%kt(CRgT-b68jr9gf0rc2{]V,Excellent
;Ljy20tfoabV8gnonG4&IV]%@W,Excellent
hunter813,Weak
cozfpavw,Weak
3ePCjask9R4,Moderate
W!)51iU-xk0:m4fkkoffUbYcTY,Excellent
4gZaL5tdZ!mlEzrFjo;f|6C1;,Excellent
xdoikvl0,Weak
ikqumwyx,Weak
{hkXMlwZi}41QPe195a<pWt$9,Excellent
;CG3+dU2I?pkwJ9,Strong
IB6MJY0;]h,Moderate
Verjodtje,Weak
eAbw2Cid[Ata55]gnpS5Wv9*3H,Excellent
michael654,Weak
ngdlp,Very Weak
3c{D}yt7iOh]G5,Strong
iv66,Very Weak
QS+FOyjU6Tw&vbr-&n9N61K-.nNC,Excellent
uxvslk04,Weak
46zMs82mW+yvDrh:bfgFN&eca,Excellent
Security476},Moderate
R0;bO(aG8^8,Moderate
Htrvfkzlw,Weak
ydmrrnda1,Weak
121,Very Weak
shadow21,Weak
fX5;S9&uJI6V]t,Strong
gw}d:2Zj+VuV6z3s9|K3nJUv7,Excellent
8F9FGhn3q3.#opA^G$yJFej1vPw2,Excellent
bhdzI#M01S[M#]%acJ18Xtrk1g,Excellent
tg48,Very Weak
39mGf0!:dbOiz+CK,Strong
a*HI(ionBQig[np54FQw;?ATwbe,Excellent
upVSJ=_3x-81ekn,Strong
Phoenix290+,Moderate
"*o,eXj9N{0",Moderate
xptisa82,Weak
24861,Very Weak
bkunxw45,Weak
"DtK&i:bwpB6a6%i2^Q0ytpt,E1",Excellent
charlie307,Weak
am4H70STiHhj|]xv6A:n[s0jf,Excellent
2<zL8JtO%yqP|Dq3,Strong
o)p3N>5kQC=wM9,Strong
"HJYDQecO,Cu8+CuM50|7-A}?r6Gx",Excellent
@fUs?n?&!JohPz9VG9X^7#^MtO8t,Excellent
lZvnOz2#gkd*$5Kyi83mgpjDdH,Excellent
d8xgJcwqe={13kUI^maS+ZTw2;,Excellent
joba,Very Weak
s+C)v:Gl@1=,Moderate
charlie259,Weak
lS2=9X}n4(MzEy,Strong
93ulX{bsfHpfz0|Bc6{RAF)Umej],Excellent
syj1|xpO89E9ckJdqnk$!7bTe,Excellent
_1A$9jj1uX1NIulhJfwp-M8il5,Excellent
FH(o=3qnsl69#VM,Strong
wDvb5uy1PK+%(UA3,Strong
<&F=01QcGZW,Moderate
SqlkB!fHh6!DZ#v21,Strong
opejf,Very Weak
l8k(UV_2.rCBGs3,Strong
pildmrcb,Weak
qhemoxfv,Weak
Phoenix317_,Moderate
je(78nAhpFSK$6vD,Strong
Ofbkn,Very Weak
V1{gUKyxJP2Z=+,Strong
MX*nxaF]P4s)n4K1s,Strong
pmqzjrrk3,Weak
px09,Very Weak
MWs6dJ@8!fxQ7rH,Strong
Thunder612?,Moderate
L0&rqdca(474c2VRIgt1Hx&)ta,Excellent
"VTd_Lj5=gZ26mR2f,K9GJ4CUso1}",Excellent
51tniudxhm97,Moderate
pop..ts!TTj8nS9pm97srs5Ks,Excellent
charlie161,Weak
1n3c=oknb6Dg440>yQpFL{YqNb,Excellent
Security42},Moderate
kc56,Very Weak
"$vr,fT1hHVeh42f7l1huG_hqtm",Excellent
Zgleyrjk,Weak
il%8Z<}bq#,Moderate
jordan760,Weak
gggggg,Very Weak
%H92Rp@c21fdUdfi0>mKagX8Wf,Excellent
?tAd=9eM6(,Moderate
Security145?,Moderate
abcdef,Very Weak
qqqq,Very Weak
PzYz7_!88HeqI=xE,Strong
Wbadq,Very Weak
ivtkdr53,Weak
DY@rX?diKyg2wS:12,Strong
michael932,Weak
"zOK9a(|sdcHx,P5",Strong
)[qfFA@w%jgukp74rDvAxc64Ra,Excellent
e5ah;WB&NTBatlFo5P20^}Xcf},Excellent
k;J3Ui*=NgbF1R,Strong
{Oxj87bEIgvmpbqk1*Jz8y-7^Z,Excellent
ysdklep72,Weak
gmj,Very Weak
742e0)[0}xA)uawkldxHbpNiBf,Excellent
pNSi4Lhr<7>jF$3P,Strong
A%}h9PE:vc1Tdb,Strong
"wV,AEo&d+95M3h",Strong
jXzu*vU0jT=N}95S,Strong
xGY:F#KD@,Moderate
H}bRxSV*3j0l4^,Strong
lh71,Very Weak
Jupiter643*,Moderate
&*(TDnBlTlYbmS0ydU_uH(mv{40m,Excellent
jcqtdfsp4,Weak
"glw8m,rQHE8h7j%@B3Mq6doe",Excellent
difpRA@w46;iS;Sve5xzi126Ze,Excellent
>@U=em%P*dC,Moderate
je87,Very Weak
ru15GSpx4iO,Moderate
Q6@Vq4*B4LD<sES,Strong
!#K+bmhd|IsnD33o56QlF5&ste,Excellent
monkey788,Weak
j*5&|u;w6G,Moderate
ddddd,Very Weak
shadow182,Weak
KBFKnwx3Q9i:<MIjM6CcC5V@6r,Excellent
48wmucxqri21,Moderate
rrrrrr,Very Weak
X)3Z^TJ*8bN,Moderate
jL4l3?]l1aBKrDN*,Strong
zzzzzz,Very Weak
lupkbwal4,Weak
*X19AU!-pvnbzjNs2vYko0gbu,Excellent
$I{mryr3l^QM8(TKX$edW0a504Q1,Excellent
Security01>,Moderate
Oakutlxfe,Weak
hunter355,Weak
ranger570,Weak
&+;I@p5bLC,Moderate
F.sKBBs2W3haPQ0hk:Ieo9-T)$0,Excellent
yvHqc$1n<6ER(I,Strong
96vchwltdj50,Moderate
O.=K41;Z},Moderate
Rosxmqnu,Weak
Security791;,Moderate
%jODNV=||Gu,Moderate
Eicr,Very Weak
36utdplhrg21,Moderate
GAs;t^5ao}7hcK?pIdnbU6iQ2l,Excellent
Security972!,Moderate
laiwHy9478k}Q93|nz}TIPmkU,Excellent
^9jP2n%Z01Y,Moderate
lwegi,Very Weak
enxdu,Very Weak
anxrv61,Weak
GE$x2Ht+RBN-1Jy5q2m8*cUA,Excellent
nie6B?8Sh29d&G)TxPYwj9*0r,Excellent
ZWEUnmPsi;D,Moderate
aaaaaaa,Very Weak
@qKtH5Ty8_ngZc7*Y,Strong
jsbiV7iFy4B]mK2d;7V1]sdjzo,Excellent
Zx#y<D07UbAtK{,Strong
<DGeKtZ6S?,Moderate
=?MYSQ@bkPK,Moderate
2_]$c0h8Ky;QXzl#Xd2fnzn0Tn,Excellent
buster567,Weak
fiwzh,Very Weak
eh18,Very Weak
D@Cyy0S?Z8t,Moderate
qyeahfv60,Weak
8GY[O&KTTI(,Moderate
3848,Very Weak
aE:]LS9%f,Moderate
ywv,Very Weak
402946989,Weak
PA<si5VdNob.!)j&n33V[mU_0mL8,Excellent
FdCm=6P7qPkM*u@1,Strong
GV27h!D|@qzyJe2DB0u)MaH#M;5i,Excellent
L-#(Gjvh6u6unor9&r2iIZnSyn,Excellent
"2:YXu,0Kai6(oJ",Strong
fexbsuwqimr*,Moderate
bzfkqc54,Weak
808819,Very Weak
master163,Weak
WM3U=9T:Xj&VB,Strong
Security94>,Moderate
412690762,Weak
973,Very Weak
en69,Very Weak
ohpsf,Very Weak
Ubntqnmmi,Weak
P|7+7hGuiS%,Moderate
"-9zmLxdbOa,t4*6ma?DF0B4sl_",Excellent
MBce6on58Jq,Moderate
"6|m;Jj85FXUe1,xC-rNp;5j7p$}F",Excellent
62284,Very Weak
w1[goMpdl6kysq}s;s4MPs7B14,Excellent
"6<,q43hKa:8",Moderate
^f54tuz&Hap:YN1,Strong
415592822,Weak
qx^xl9rnapt2E5A9GV-agme{06,Excellent
Rjgbuekog,Weak
D$Z|fz5H>$W,Moderate
X.PR#9C?6FJ%I[8,Strong
Security58?,Moderate
P(-d+1QGx7bjoS,Strong
i4e?BVr<n2ozX$J,Strong
sgso>n8PzPI[-7P6P,Strong
"E2V,DSO8:}!Qwfz",Strong
azyctisf4,Weak
agsdrm40,Weak
iysunyrYg)b:T!p6S8McM75y11,Excellent
Ot<Yp#Lf|r,Moderate
srngq,Very Weak
222679320,Weak
qv60,Very Weak
84upvhlijq97,Moderate
8j71>0yy1woOvMb)nv2&CMUP)m,Excellent
9gaNc0Y2vOp,Moderate
zlQ8sIRlC1mqJeM4|s-jaPA7LlNP,Excellent
fqzbi,Very Weak
idd,Very Weak
wJEB4|&7ooGgyY@8,Strong
07-u!13xkTXOme#%vtAczxrhIa,Excellent
DsR.9Cf[?,Moderate
L2}_4aOCW0kT|ayd,Strong
shadow429,Weak
b:4lNcvypo6c;ie1693AVrL[ua,Excellent
317921687,Weak
c0w_WpT86YNe&v]B,Strong
23L9PwgAG&:bNar+v,Strong
Security49#,Moderate
Eim=H@yRTG<,Moderate
czqsw,Very Weak
rhmuqcfs,Weak
xv-?|mWn7YB,Moderate
zK3*kulj3NPx:mvejAq23*Lfi,Excellent
6jBMs}wlbkE4Ycy3h3b#sU_vo,Excellent
ranger972,Weak
ivP.2)R_(U,Moderate
Ktyge,Very Weak
Uxjhqdev,Weak
jarsiu87,Weak
e4}vd)TUZ_,Moderate
OL4@03qxjz<PxjgQo8dhSs.b8,Excellent
48ejhwxscm56,Moderate
-CoevVo9Uu2^w[p0ea6f4NvXbc,Excellent
mmmmm,Very Weak
hDww0196xbltD;rmxe35BI-tp#,Excellent
ik42,Very Weak
hgbgj,Very Weak
7ehs4QXL4Sbs%;C$,Strong
SW*o5rw8]ws98d)nAxEs7pO5d,Excellent
ZD}EygKThI.xL%,Strong
nezpqfda9,Weak
qwerty,Very Weak
Gy%W6Svqn-*M82,Strong
I]0[fQ;Lw7yIL9opo,Strong
haexqtwr1,Weak
"n9Ig;P0nLq#t@,oJKovf1d0mDt",Excellent
".wK(,?3c8E",Moderate
"LF6uk9Co^P0M7c,ircK>|R_1>y}",Excellent
"it<kmo7srh,C0S|0OJA.egq3C",Excellent
ycef]CU}:Pe,Moderate
qc76,Very Weak
8QuRpF8T+5a^oPg#,Strong
auncdby24,Weak
Security62[,Moderate
Security76%,Moderate
Swq,Very Weak
5e>o<CW9uE2kdnWJ+,Strong
monkey400,Weak
5rZFApn2jCk0oq?9otgs?7Fb;,Excellent
w_u9]0dv1OTfXxkm6gje%RV+00,Excellent
locbxuev0,Weak
&C8D?ZYiDA-,Moderate
"KU7rY[l1rKy9D<l,",Strong
mvlyxgf8,Weak
ylgs,Very Weak
vZqv^92@1A2vnU2l[is@#wNVdr,Excellent
Tli,Very Weak
yxoay,Very Weak
8n._V8L-9ZS,Moderate
rd@1ZkKU2Z4+bfMmxcX{2uE2n,Excellent
Mze,Very Weak
]aq2vv]MiaW7i9{uJSbBnbbbfJ,Excellent
g-ImXG7iD9wm0]Z|,Strong
"J4G6top,woYpWS1P[J!@2fN[nB",Excellent
"H,9-bbfqF9;t]QoY13Qcrdewvw",Excellent
Bn[48nfSwlZ9Tgn$fylzSr[j0m,Excellent
;Xuqnk_^:1eQY7fb7ZjqGomh2g,Excellent
sad6!}1UNzJm?4,Strong
Kdzswhix,Weak
rpuidknd4,Weak
cunaY49.zX),Moderate
",m2TdTt0wi7U;H)X",Strong
T=M$nar8{3e6kXu,Strong
Qa@p0ti4%VchXkOCt0{m5:f2L,Excellent
e31qC3#ANz^_Rxxr(0s4HnQ0k},Excellent
Jjrs,Very Weak
"Thunder124,",Moderate
vwQ5zYc96Mu,Moderate
i2:8>2wiFMsNGjru6.Mzc8}g:eo,Excellent
098,Very Weak
iuD0%MOOW-j,Moderate
dWu80p[YNFg%{E,Strong
38q9iet)f[XWClB,Strong
Security09:,Moderate
Ses,Very Weak
o9=z3M:F-,Moderate
"b6F0D&djMX=5,hnaw6;8{ONjr5",Excellent
7158,Very Weak
dE*7o8sEm]Uf[zsv0[Jsf8zlLc,Excellent
n7=iz0;.%45,Moderate
NJ](glwUF8HKWXnlG0q-nb&t!Tu7,Excellent
96165,Very Weak
yyyyyyy,Very Weak
",P}tZ46!qbR2vofY",Strong
36pkhlvweu85,Moderate
76863,Very Weak
007335,Very Weak
ydvn=0WQ9[C1Pae,Strong
Eshy,Very Weak
axegjnap3,Weak
jessica571,Weak
",=?b|90h.t)",Moderate
jynfqisa,Weak
nnnnn,Very Weak
571223329,Weak
"1uyY9,qh3_hq4XhfGrR)Mf:e4[",Excellent
Hcl,Very Weak
257HOhwDturLz(G?.,Strong
GO<n>Pu>j6v15EiV,Strong
Phoenix369@,Moderate
syuhqn26,Weak
mclxqzw92,Weak
mhnqdkfz3,Weak
Jupiter805<,Moderate
K6*^%F0!sr,Moderate
dilfm,Very Weak
pavh,Very Weak
(5mq$U+76DlGfz,Strong
ykzza,Very Weak
Phoenix643:,Moderate
662,Very Weak
;I=0cO}xg^[,Moderate
"qU{^w,tpHB3cKvE",Strong
lOx;8ubny.H1imf&wD8y2I50N,Excellent
1893749673,Weak
Thunder160|,Moderate
gggg,Very Weak
"F0A,4zE;c6=p^GW",Strong
dXFZKqs2!8f(#mh9I,Strong
121210,Very Weak
GjNl<T&57}rew3,Strong
@nCQ(DST.k6LF{,Strong
X>iS9Oh3tp_N*Uq,Strong
.oXSD75iymhU&#3S,Strong
vcsqim13,Weak
kUb56iv5w5g:sJQn&hzyqZN-f<,Excellent
etxycxp36,Weak
#Q7G1K>^E7d4Uwl,Strong
Razsv,Very Weak
y37TA3lZOjV(fqa5c^-q9iT:a,Excellent
ak28,Very Weak
379,Very Weak
xlxuroeb5,Weak
q5gpo>x1WmfAQ+wts0nmM]3ezT,Excellent
h]=(Z<vsL86,Moderate
Ezdu7bjItP&iOv2D*>14gP.fv2,Excellent
master82,Weak
1v(+e!W$Y%D,Moderate
dw78,Very Weak
H8yHMn&cNu7W44jQaV%g9z_T&,Excellent
nnnnnn,Very Weak
Wlwvamxgi,Weak
Security743+,Moderate
]O&2F4<Is,Moderate
lsabw19,Weak
#f6A&dt-P5zLyKJ,Strong
N$MbQ8sv7!^fPA,Strong
:.IBplzs0t[1On2kV8faTWtu40,Excellent
bwQhuI{clr1K9?_ew9idLIo52,Excellent
"jamq1Tee,1cGajw3$zjeL^BS6",Excellent
5N3B?VgxJ3u*<mp>JPa8.H=Ja8,Excellent
tr73,Very Weak
Jupiter480|,Moderate
02586,Very Weak
R1Lq!o)p53w;JFeG,Strong
cu8(n_TA49d7K&H,Strong
21280,Very Weak
mT1u:91r@DkmUQg[E,Strong
rbfnb,Very Weak
3+L=Mb=tO661IUg&2BB9qjL1ou,Excellent
qoa,Very Weak
5865,Very Weak
!IR5ZHLVMt(y|[,Strong
tw09,Very Weak
HzvDq3sd0uGpwkwr1<7vX&;mQ1,Excellent
q7X{R8pYB@54.,Strong
betgx46,Weak
3721,Very Weak
Z.i7>UEn?$yX1P,Strong
|bub{Bn7M:M8f9KO,Strong
eCFbW[rDzxa,Moderate
WM{YHeIz8CX,Moderate
]zzDpvClc}6b680Ss3Xb7tm+di,Excellent
SXpwAzhb-u2Oriltd-q1$L5r4,Excellent
49906,Very Weak
QiVu(Zy8O29w;Ek,Strong
0b7.=qvmFJIxp|ST,Strong
jf+9+rkk5e7Bk4c5aL&zb8LUA,Excellent
3P?j6+h3sR<1b-ghlg8iuScSS,Excellent
hzmjy,Very Weak
^1lGht.3vC_JAO5,Strong
Jupiter145&,Moderate
vwhth,Very Weak
G!9)@3#Ui:,Moderate
scx,Very Weak
uuuu,Very Weak
UN@21o:9$yICL,Strong
K@z4Waz2gE4F3j)Ieieqsf12|w,Excellent
"d7s1?7cNq,kkl|5joKFxr6zDa",Excellent
mFY4W5}ayre^;c0MZ0w)4rd2xU,Excellent
Jupiter260:,Moderate
"sQ2Izf8urQhD,yk7w;rms0b3s}",Excellent
Jupiter560),Moderate
wt(G1Co8IiNf_y0Khs0>7P?8b,Excellent
O7c(YJPseD_k(v22,Strong
fw05,Very Weak
73o6FNpqXey,Moderate
fz17,Very Weak
xipvrdh79,Weak
hclorUgH4#77bN*@qbIo5ozi7,Excellent
buster404,Weak
yuwyecsl8,Weak
3On6h_rvS1pSugPkhQ67>|Gapx,Excellent
8L2A5FgU_N%p0^hhnz8pEkni[,Excellent
sceha,Very Weak
se44,Very Weak
8&iL$])V9K[M04,Strong
f{>NoUz?bM,Moderate
WoA>Hkwo^d(,Moderate
Fwuvnhbzk,Weak
master62,Weak
Cswopxey,Weak
E_h3H3YSdvTqpChd0t#vg.yn7,Excellent
HP|Pm1k2imV_QElmk%:H1XrCqx<:,Excellent
Rx2JM[=VP*#NtI7,Strong
xkzempsudfc-,Moderate
Y.pa8ywh_6mA0ON|kiC7Iga$0,Excellent
Mtas)U63vgJueCsX49y[Tg2dv|,Excellent
T}25Ou-0=J<1vI&,Strong
227,Very Weak
cccc,Very Weak
ga)3&|G7c1[LmiNB|aNueyd4Jp^N,Excellent
7680,Very Weak
Yd4SuKI6)X={_go,Strong
zeasu29,Weak
blhapjz8,Weak
Xvxlx,Very Weak
michael171,Weak
7|dte.NIc-[,Moderate
0(y*fpO;cm<,Moderate
pe36,Very Weak
Cl0Hb-r=?EH,Moderate
Dm34ObtsYxBT5a#_N2fi(7z1y^,Excellent
3Yx&CqL0M.7-u+;,Strong
wwwg,Very Weak
GnQFov5S7|#4e!xu,Strong
Security246_,Moderate
yP4X07-4Bufo}^t4clixdhV#6P,Excellent
yw96,Very Weak
rgmtujy9,Weak
"7+Ysl_DgbFWq,hVlfvvs6457",Excellent
d6qvY<?POiGwa!y1z50XnbqAHZ,Excellent
.}^Tkfs5p:,Moderate
El7Bfq62dVw,Moderate
wbax,Very Weak
Q;H07yf!J6zj|fhirND5l.e}Ui,Excellent
$]cOe8YD[m,Moderate
mmmmmmm,Very Weak
B0x*yj])6#L?OZ8Au40DkyhlCQ(F,Excellent
)Aw+G7le6:vYDJ,Strong
"ykx5,7zpbOb]xFrCyz0)1MBuV",Excellent
yX8h{5b&N6a<iWVdE,Strong
d9Tyh0o#bu?6<D8U0ij]Uinnpy,Excellent
Jupiter563?,Moderate
M89@]6FuV;(,Moderate
+nYSH9h3L:),Moderate
haobrfkj0,Weak
"4(319ktOgE),B&{6W_g,6ESfhQbw",Excellent
pppppp,Very Weak
asx3EVxd2cQDvj6c*&[ed3f4b,Excellent
Pqjziabv,Weak
}utrTSB70zL7Vt?!,Strong
charlie905,Weak
ik09,Very Weak
vnjxwul68,Weak
xkepqg96,Weak
l@FUepscaQbJ,Moderate
"miWXNTrL[|uoYk,",Strong
$Y3Hj!pz]8XLqt,Strong
wfmco86,Weak
hucetpgo2,Weak
Szceltwca,Weak
oaktcger,Weak
kamwe89,Weak
brDNwb|Zl_6nd&1!YbQs5CJmY,Excellent
L+08i]yA_GFrxE9,Strong
7xwpY6Anvq:ecfeuVl!43Tq-!U,Excellent
mj%9q3Y.WP8B92xq!ph:k3Usbv,Excellent
948403,Very Weak
(gD2hL^b&.deNri2Y)7wk9ivKB,Excellent
Thunder894},Moderate
Q95vE0Jwrhf@&T%p,Strong
ccaa<DNp7G;3(+NrU9{YdOw9Fj+,Excellent
qtwmasohbvj.,Moderate
wadgo97,Weak
41hepztwfn73,Moderate
gwljhrtk7,Weak
M6IJwEoC%RB,Moderate
Drlrwdpya,Weak
hsmpnzgx3,Weak
wlvdh98,Weak
ygcobzm00,Weak
"tfk]QOeouZ48,nvRO,1}%.Z4S.G",Excellent
master941,Weak
bobgeypo0,Weak
nooktwn04,Weak
IQ5^kY;h}*E7vU=,Strong
huiniar37,Weak
jelvunv46,Weak
cll,Very Weak
"F0l6qnS,}5#MKtG",Strong
>9XO#C@L$013ApB,Strong
ZZ3#LBxX;8:4hhfp,Strong
cfcpn,Very Weak
Rovxnsle,Weak
|S@n_CYR$*U,Moderate
9973972950,Weak
Phoenix134},Moderate
GO!pZ_ql1eJhA74y,Strong
oi26,Very Weak
Qcga,Very Weak
dfk,Very Weak
gIMx&{?S9,Moderate
sDV%Om]JZ=,Moderate
hn47,Very Weak
U9dK7B&3P1;NLYS,Strong
0248,Very Weak
Ei:CvA=H9S:&j36Nc{aef98{Q{h,Excellent
W[(wzkY0nBq7G68xfOc1p?<Mf,Excellent
"{xm+Z1kYv,n0IY8{0W4G.pPlURq",Excellent
KE=sH>R[5wp,Moderate
pikhk,Very Weak
xhv8sh;nXZzmi_od-w2%Q6z3CP,Excellent
10yulphvro78,Moderate
ylqa0Z^qw8;e.52F:1mecpAvoX,Excellent
Thunder348<,Moderate
iQhJ.W0>h27s+cmCscslNwje!2,Excellent
cct,Very Weak
7617,Very Weak
9640246963,Weak
uuuuuuu,Very Weak
GqX1rd?t19?VpA1p6Wd.vywj4,Excellent
t^Vyt$3hoa1r1?l8f5hgANSbXT,Excellent
kujmqwb83,Weak
Cnjx,Very Weak
"hb?0gYK4u,|6acQ",Strong
zc<IDoB+H2La_vS,Strong
segrp,Very Weak
c7X&7JMkR#SZAE},Strong
lj53,Very Weak
gplrdda17,Weak
L4iMkAE2*f?,Moderate
"eyR44(oe0qaWacO%7kmO,htJQg",Excellent
BQIP16{jC4(h-eqn@6nWYN^UdOn,Excellent
565053970,Weak
5pgn3WySjU9,Moderate
04neqgykoi87,Moderate
#H6e3kz_4DBvX},Strong
I3;k9mip]yqjuwif92RBqPT]W,Excellent
0]Nj.e^aF#,Moderate
Whp0qoL)B9u,Moderate
NYG0]k4z^hS(_9d,Strong
Fhn,Very Weak
vxmt4}dP5Emot6OuW4z<)7anfY,Excellent
Phoenix931&,Moderate
eI-ia6NhZ19&qf=3gPt1ivVo],Excellent
